P(higher, educ): 0.043954
P(new, york): 0.008824
P(onlin, learn): 0.008814
P(educ, system): 0.007742
P(unit, state): 0.006249
P(public, school): 0.006223
P(time, higher): 0.006059
P(educ, institut): 0.006036
P(onlin, cours): 0.005567
P(social, media): 0.005394
P(intern, student): 0.005036
P(vice, presid): 0.004944
P(onlin, educ): 0.004697
P(depart, educ): 0.004496
P(distanc, learn): 0.004445
P(mental, health): 0.004357
P(hong, kong): 0.004351
P(educ, secretari): 0.004254
P(vice, chancellor): 0.004180
P(best, univers): 0.004085
P(young, peopl): 0.004083
P(year, old): 0.003989
P(world, rank): 0.003944
P(member, state): 0.003896
P(distanc, educ): 0.003758
P(around, world): 0.003510
P(colleg, univers): 0.003404
P(educ, student): 0.003403
P(foreign, student): 0.003403
P(betsi, devo): 0.003392
P(saudi, arabia): 0.003351
P(last, year): 0.003334
P(said, professor): 0.003264
P(year, ago): 0.003256
P(student, enrol): 0.003148
P(mobil, learn): 0.003089
P(learn, outcom): 0.003086
P(educ, research): 0.003073
P(two, year): 0.003016
P(low, incom): 0.002987
P(student, learn): 0.002938
P(chief, execut): 0.002918
P(pre, primari): 0.002899
P(mani, student): 0.002859
P(liber, art): 0.002816
P(earli, childhood): 0.002764
P(upper, secondari): 0.002743
P(comput, scienc): 0.002708
P(three, year): 0.002699
P(long, term): 0.002570
P(south, africa): 0.002507
P(emerg, economi): 0.002503
P(educ, polici): 0.002488
P(artifici, intellig): 0.002429
P(gmt, februari): 0.002427
P(middl, east): 0.002425
P(coronaviru, outbreak): 0.002424
P(primari, school): 0.002399
P(urban, area): 0.002396
P(two, week): 0.002393
P(onlin, program): 0.002369
P(tuition, fee): 0.002339
P(learn, environ): 0.002327
P(across, countri): 0.002271
P(educ, minist): 0.002249
P(educ, sector): 0.002245
P(york, citi): 0.002242
P(five, year): 0.002223
P(qualiti, educ): 0.002214
P(said, statement): 0.002173
P(donald, trump): 0.002170
P(coronaviru, pandem): 0.002168
P(said, would): 0.002159
P(said, student): 0.002110
P(educ, educ): 0.002080
P(educ, said): 0.002069
P(four, year): 0.002064
P(everi, day): 0.002063
P(new, technolog): 0.002043
P(help, student): 0.002042
P(medic, student): 0.002042
P(student, may): 0.002032
P(high, school): 0.002024
P(public, educ): 0.002013
P(would, like): 0.002012
P(research, univers): 0.001967
P(secondari, educ): 0.001946
P(virtual, realiti): 0.001924
P(student, teacher): 0.001916
P(school, close): 0.001907
P(school, student): 0.001906
P(million, student): 0.001906
P(faculti, member): 0.001900
P(said, ad): 0.001899
P(interdisciplinari, research): 0.001891
P(remot, learn): 0.001883
P(languag, learn): 0.001883
P(knowledg, skill): 0.001876
P(charter, school): 0.001874
P(incom, student): 0.001838
P(open, sourc): 0.001833
P(prime, minist): 0.001832
P(educ, depart): 0.001816
P(tertiari, educ): 0.001812
P(social, scienc): 0.001806
P(mani, school): 0.001799
P(secondari, school): 0.001799
P(feder, govern): 0.001798
P(educ, need): 0.001795
P(st, bernard): 0.001762
P(demand, driven): 0.001758
P(mani, univers): 0.001740
P(educ, technolog): 0.001716
P(educ, program): 0.001715
P(childhood, educ): 0.001678
P(presid, donald): 0.001677
P(boot, camp): 0.001675
P(european, union): 0.001669
P(two, decad): 0.001667
P(learn, experi): 0.001660
P(digit, learn): 0.001657
P(student, staff): 0.001654
P(learn, manag): 0.001654
P(rural, area): 0.001652
P(privat, school): 0.001649
P(pre, school): 0.001649
P(teacher, parent): 0.001625
P(elearn, cours): 0.001614
P(nation, educ): 0.001611
P(primari, educ): 0.001611
P(professor, karlsson): 0.001594
P(colleg, london): 0.001585
P(person, learn): 0.001582
P(lifelong, learn): 0.001582
P(social, distanc): 0.001577
P(educ, programm): 0.001577
P(elearn, content): 0.001577
P(children, school): 0.001574
P(medic, school): 0.001574
P(said, mr): 0.001570
P(univers, uk): 0.001569
P(student, student): 0.001565
P(economi, rank): 0.001561
P(student, access): 0.001560
P(univers, colleg): 0.001553
P(educ, provid): 0.001550
P(stanford, oh): 0.001510
P(south, korea): 0.001509
P(code, boot): 0.001509
P(st, centuri): 0.001507
P(base, learn): 0.001507
P(cyber, secur): 0.001502
P(onlin, platform): 0.001499
P(social, mobil): 0.001493
P(execut, director): 0.001491
P(bachelor, degre): 0.001489
P(student, alreadi): 0.001487
P(novel, coronaviru): 0.001487
P(devo, said): 0.001478
P(onlin, class): 0.001475
P(unit, nation): 0.001474
P(learn, technolog): 0.001471
P(manag, system): 0.001467
P(mani, countri): 0.001460
P(student, countri): 0.001460
P(teacher, student): 0.001429
P(allow, student): 0.001429
P(anti, semit): 0.001427
P(european, commiss): 0.001423
P(parent, children): 0.001423
P(latin, america): 0.001420
P(european, higher): 0.001416
P(interact, video): 0.001415
P(turkish, educ): 0.001409
P(public, privat): 0.001409
P(mainland, china): 0.001406
P(student, said): 0.001404
P(last, week): 0.001403
P(foreign, languag): 0.001398
P(internet, access): 0.001396
P(big, data): 0.001393
P(school, across): 0.001393
P(student, across): 0.001393
P(languag, skill): 0.001386
P(research, develop): 0.001384
P(student, studi): 0.001381
P(mani, parent): 0.001381
P(educ, children): 0.001344
P(unit, kingdom): 0.001343
P(sexual, assault): 0.001343
P(secretari, betsi): 0.001340
P(elearn, trend): 0.001338
P(even, though): 0.001336
P(predict, grade): 0.001330
P(school, said): 0.001330
P(onlin, lectur): 0.001329
P(educ, particip): 0.001327
P(student, complet): 0.001326
P(incom, famili): 0.001326
P(say, dr): 0.001326
P(children, age): 0.001325
P(student, abl): 0.001318
P(student, turkey): 0.001315
P(educ, world): 0.001306
P(onlin, student): 0.001293
P(children, learn): 0.001281
P(student, would): 0.001279
P(recent, year): 0.001270
P(fast, forword): 0.001259
P(dr, hartl): 0.001259
P(collect, trauma): 0.001259
P(mike, penc): 0.001258
P(publish, gmt): 0.001258
P(updat, gmt): 0.001258
P(februari, updat): 0.001256
P(us, dollar): 0.001256
P(anadolu, agenc): 0.001255
P(learn, disabl): 0.001252
P(would, never): 0.001248
P(learn, tool): 0.001247
P(learn, onlin): 0.001247
P(labour, market): 0.001245
P(six, month): 0.001245
P(staff, member): 0.001239
P(vast, major): 0.001239
P(ask, question): 0.001239
P(driven, fund): 0.001235
P(russel, group): 0.001233
P(univers, offer): 0.001225
P(school, offer): 0.001225
P(univers, student): 0.001225
P(teach, student): 0.001225
P(number, student): 0.001225
P(provid, student): 0.001225
P(special, need): 0.001224
P(econom, develop): 0.001221
P(said, parent): 0.001219
P(european, countri): 0.001217
P(allow, us): 0.001213
P(state, univers): 0.001210
P(special, educ): 0.001208
P(home, educ): 0.001208
P(basic, educ): 0.001208
P(student, like): 0.001207
P(enhanc, learn): 0.001205
P(york, time): 0.001200
P(school, teacher): 0.001197
P(help, children): 0.001185
P(spokesman, said): 0.001182
P(univers, research): 0.001182
P(access, higher): 0.001180
P(sourc, eurostat): 0.001175
P(presid, mike): 0.001174
P(video, conferenc): 0.001174
P(educ, attain): 0.001173
P(th, centuri): 0.001172
P(privat, equiti): 0.001172
P(financi, aid): 0.001172
P(move, onlin): 0.001169
P(becom, increasingli): 0.001168
P(gener, secretari): 0.001168
P(studi, abroad): 0.001168
P(covid, pandem): 0.001167
P(mobil, devic): 0.001167
P(two, third): 0.001167
P(primari, secondari): 0.001164
P(particip, rate): 0.001162
P(student, faculti): 0.001161
P(educ, leader): 0.001160
P(school, district): 0.001160
P(intern, enrol): 0.001160
P(work, home): 0.001159
P(socio, econom): 0.001158
P(among, student): 0.001157
P(disabl, student): 0.001157
P(femal, student): 0.001157
P(spread, coronaviru): 0.001156
P(student, graduat): 0.001154
P(educ, graduat): 0.001154
P(educ, level): 0.001153
P(lower, level): 0.001153
P(univers, continu): 0.001152
P(educ, accord): 0.001150
P(climat, chang): 0.001149
P(sustain, develop): 0.001140
P(institut, countri): 0.001136
P(world, univers): 0.001135
